prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,pred,label
1.5462135e-17,1.1791524e-13,4.695734e-10,1.0,1.2340729e-14,4.4947445e-11,3.2578324e-20,3.0834664e-12,5.456516e-10,1.8642426e-10,3,3
1.6606237e-25,0.0,3.7261406e-29,8.684667e-32,1.9394591e-33,1.0932748e-27,1.0,1.3018179e-26,2.307099e-30,0.0,6,6
9.776524e-13,0.9999614,7.187325e-17,2.356647e-12,7.813456e-06,4.0866494e-12,1.1892318e-10,1.130052e-09,3.0806423e-05,5.0980725e-10,1,1
8.656911e-16,3.1837584e-20,6.091967e-16,1.08955914e-10,9.828377e-07,2.406989e-12,6.5183987e-23,5.6929084e-10,2.6484696e-13,0.99999905,9,9
3.689539e-09,0.99986684,5.3686183e-12,9.901889e-10,1.3270023e-05,1.3061697e-09,0.00011930715,2.2807634e-09,5.7220285e-07,7.1636284e-09,1,1
1.0383781e-20,0.0,3.2117377e-24,2.8673775e-23,1.9840218e-25,1.3084522e-22,1.0,2.1783436e-22,1.0149054e-26,6.460871e-31,6,6
1.957311e-19,6.1528966e-19,2.3012593e-14,5.766814e-25,1.0,1.5402661e-19,6.1118077e-15,5.4291138e-12,5.0044835e-19,1.9555035e-13,4,4
1.7060122e-19,2.4690312e-11,1.437863e-10,3.241017e-13,7.827456e-20,5.0961346e-16,4.252071e-31,1.0,4.352543e-15,3.001369e-21,7,7
1.9236119e-24,0.0,6.967748e-37,1.431925e-31,1.411955e-36,1.61141605e-27,1.0,3.6224662e-30,0.0,1.4366713e-35,6,6
2.2672625e-10,0.9999938,1.0410401e-14,5.5157774e-11,4.890618e-06,5.166423e-12,2.9373192e-07,1.330173e-10,1.0993869e-06,6.967286e-09,1,1
5.3430438e-17,1.8448864e-14,1.0,8.871021e-13,1.4450189e-22,4.1368457e-22,1.19657635e-26,9.983681e-17,7.786669e-24,1.6843476e-21,2,2
1.0,8.815076e-31,3.69519e-18,1.8837876e-32,6.327666e-32,8.1512936e-27,2.188835e-18,2.2016133e-26,1.6012406e-24,4.012598e-22,0,0
1.1535417e-16,1.547478e-11,1.7692678e-12,1.3632731e-12,2.2899148e-14,1.6364697e-13,9.535981e-14,2.6451699e-17,1.0,7.8579504e-14,8,8
4.659891e-11,2.617025e-26,1.2784035e-17,3.7327162e-20,1.7542772e-16,5.2245336e-16,1.0,2.7064112e-17,5.719346e-15,1.9703781e-17,6,6
1.4813928e-22,1.6083197e-21,2.6186222e-19,1.0,2.5220164e-18,4.0002537e-12,7.5669824e-26,8.506166e-18,6.5262984e-10,4.7722586e-09,3,3
1.327076e-15,2.3906675e-11,1.0,1.4111926e-18,9.031378e-18,3.127219e-23,6.486046e-20,1.0215758e-09,1.1999829e-13,3.1910121e-25,2,2
3.107956e-21,8.26168e-18,3.4481593e-19,5.856022e-24,1.0,1.6988702e-17,1.8574535e-13,6.526005e-12,2.1923024e-11,5.1970936e-12,4,4
0.0,5.527907e-28,2.6349794e-31,1.0,1.4024564e-32,1.0062755e-23,0.0,3.8155134e-26,5.254865e-20,2.4611516e-18,3,3
7.38116e-17,1.2564149e-18,1.7665187e-13,7.078626e-17,1.1853979e-22,2.9710782e-14,4.7868127e-37,1.0,1.0378886e-17,1.3071627e-18,7,7
9.683501e-12,4.764204e-15,2.6989155e-10,4.067641e-18,2.4911834e-15,4.21132e-12,1.9820968e-21,1.0,4.2195588e-17,1.7097238e-10,7,7
1.5290141e-12,1.0,1.09435e-11,7.389152e-12,1.2136031e-08,6.9499046e-12,1.6089354e-11,1.0497533e-08,3.486654e-09,1.2420388e-09,1,1
