prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,label
6.248953e-35,1.178498e-17,1.1262264e-17,1.0,1.4550602e-12,1.617412e-15,1.1219529e-29,3.4828264e-16,3.735243e-17,1.9788774e-22,3
7.0379605e-27,2.4300807e-37,5.265455e-29,2.6819155e-28,1.8027018e-23,1.5133489e-24,1.0,0.0,2.0049257e-21,0.0,6
3.3491473e-15,0.99986255,1.7516161e-08,1.2414688e-11,6.864493e-07,2.6053893e-08,4.21216e-06,2.5597718e-08,0.00013256553,1.6397755e-09,1
8.7628636e-18,1.7213225e-33,6.4322167e-17,1.8649439e-07,8.148569e-16,1.5902814e-11,1.30061e-28,2.5959534e-20,6.965569e-14,0.99999976,9
7.616618e-10,0.999923,4.2547185e-06,1.9202148e-10,1.1914397e-06,8.258093e-08,2.9579885e-05,1.7860904e-07,4.1526382e-05,4.178505e-08,1
5.428594e-24,1.5163903e-29,6.2491825e-23,1.4595705e-32,1.3471694e-12,7.2144974e-24,1.0,1.1457213e-33,3.322939e-26,6.9770785e-31,6
7.304745e-25,1.436994e-21,2.5112462e-17,3.8696472e-25,1.0,4.2934464e-20,1.4383278e-12,3.831503e-24,2.9006122e-16,4.2204462e-16,4
1.2515996e-15,1.735085e-14,4.7616183e-10,1.1190903e-08,2.2937446e-21,2.5688466e-18,1.7999752e-29,1.0,3.1173697e-15,4.3344047e-13,7
3.0054842e-27,7.6391647e-35,1.8766355e-26,1.13252e-33,5.743193e-17,3.135663e-24,1.0,1.7556653e-36,3.6353008e-29,1.4487772e-30,6
4.784918e-12,0.99997854,3.702022e-06,3.7362022e-10,3.376849e-08,3.5410544e-08,9.28495e-08,3.93837e-08,1.7609878e-05,1.5180778e-09,1
1.4513073e-27,6.0130164e-22,1.0,3.3038098e-22,2.8257258e-37,1.1440264e-26,9.0020654e-27,1.1976234e-24,2.0421076e-21,1.0914822e-36,2
1.0,0.0,2.7295025e-16,0.0,2.7592311e-18,2.603083e-28,6.175357e-14,1.0368186e-35,3.0488302e-29,4.824138e-21,0
6.9060994e-12,1.1023767e-09,1.417248e-07,1.5743961e-09,1.3913248e-13,8.6755575e-10,1.3157118e-11,2.908853e-14,0.9999999,5.2323428e-12,8
1.316985e-11,8.719698e-15,2.8478918e-12,5.611161e-16,1.880644e-12,1.12056295e-10,1.0,9.240617e-25,3.2858016e-09,2.6887797e-20,6
2.434018e-19,4.8356285e-16,1.3150296e-11,1.0,1.1241506e-14,1.5679994e-11,1.9094942e-24,3.457751e-10,1.9334635e-08,1.8000533e-11,3
1.8531612e-13,1.1809393e-21,1.0,5.020498e-15,1.3886054e-16,1.7608527e-18,1.7969853e-20,1.0728434e-15,6.9246718e-12,2.424916e-20,2
5.073198e-35,6.493052e-20,3.876714e-23,1.6405294e-28,1.0,2.2430347e-17,6.573654e-19,8.920637e-27,2.4872254e-10,7.789686e-20,4
0.0,1.1968561e-24,1.4849396e-23,1.0,5.802609e-24,9.269353e-18,0.0,2.7459652e-21,8.099709e-21,1.6749306e-19,3
1.8486021e-22,8.927326e-16,1.2231615e-15,2.1814491e-11,1.3118334e-14,1.2477031e-18,1.8717413e-30,1.0,1.3487833e-13,3.2362362e-09,7
3.3196666e-13,5.1525174e-13,7.5074655e-11,2.891971e-13,5.5073296e-18,8.253219e-15,4.0598044e-22,1.0,1.8640966e-14,2.6504887e-09,7
3.0967456e-10,0.9999876,1.562912e-07,1.7782477e-09,2.5326153e-06,1.565335e-08,2.9508362e-09,5.8908995e-06,3.958991e-07,3.4217198e-06,1
2.942484e-15,1.7956601e-23,1.2702695e-19,1.3100859e-10,1.1730658e-18,1.0,8.094343e-19,1.1791237e-16,2.5555853e-09,1.721091e-09,5
2.679798e-21,7.189244e-18,2.9053856e-12,4.9041805e-11,7.9429055e-26,1.5904589e-17,1.7651912e-25,1.9410442e-17,1.0,1.7636393e-14,8
1.0067032e-20,1.7845348e-17,6.673942e-11,1.0011796e-11,5.2552254e-20,3.6976935e-14,2.2807117e-19,4.6198815e-22,1.0,1.672495e-15,8
4.4302612e-17,2.1818485e-13,4.3074693e-12,4.6697816e-05,4.8620727e-13,3.202544e-18,2.0736385e-29,0.99995327,2.852321e-11,5.8340034e-11,7
1.5717279e-14,8.5693666e-14,6.5884857e-13,2.9240563e-14,7.531567e-13,9.848137e-20,4.004018e-23,1.0,8.896365e-14,1.2674474e-08,7
0.0,0.0,1.5772661e-21,4.3409583e-35,1.0,1.5804233e-27,2.6665808e-22,1.2270444e-31,2.0160304e-29,2.3148145e-36,4
2.9776984e-12,8.870145e-06,4.714867e-08,3.2279597e-05,5.105661e-13,2.815551e-13,7.206788e-20,0.99995875,3.8536103e-09,5.9566155e-08,7
3.9350903e-23,5.748683e-21,1.6290429e-20,2.4769606e-22,9.3866124e-15,1.1440584e-16,1.0,4.934612e-25,1.0964521e-14,2.1006558e-28,6
2.012004e-13,9.668589e-14,9.356209e-13,1.4325839e-10,8.690959e-07,9.036592e-14,3.514388e-23,1.0579402e-10,1.4743921e-11,0.99999917,9
