prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,label
1.9116185e-28,7.391329e-18,3.4182404e-15,1.0,5.47846e-24,8.139789e-10,2.2617601e-22,1.949574e-21,2.133639e-20,1.5958062e-14,3
1.1429746e-27,0.0,4.09265e-27,0.0,6.74773e-23,3.4694467e-16,1.0,9.990848e-31,4.7685014e-20,9.584163e-24,6
6.990484e-24,0.9999819,2.6953786e-10,2.9429954e-09,6.3911893e-15,1.1178498e-08,1.3665032e-11,1.7187918e-05,9.577393e-07,1.6676018e-10,1
8.4895165e-30,1.773385e-17,9.148086e-19,6.566052e-14,1.8184117e-11,2.3211325e-17,7.902325e-24,1.0136077e-14,2.9868253e-16,1.0,9
9.439824e-31,1.0,9.820296e-10,9.860765e-13,5.3423835e-20,2.40206e-09,7.106775e-14,3.2353255e-11,9.953966e-09,9.8018e-15,1
7.775109e-20,2.8165867e-31,1.3340376e-26,4.0927175e-32,3.475143e-12,5.7136695e-10,1.0,7.950334e-18,7.6043086e-19,4.362242e-19,6
8.62755e-30,2.9640745e-19,4.290486e-26,2.601084e-31,1.0,3.160163e-22,4.2661838e-19,2.4738601e-17,1.5389635e-25,3.430225e-19,4
9.363474e-30,1.5004966e-11,8.671389e-14,6.961284e-13,1.2062008e-18,3.698758e-18,2.0144597e-24,1.0,1.6106786e-12,3.3480926e-12,7
5.9215095e-22,7.746587e-38,3.824343e-19,1.5254517e-38,5.5558073e-15,2.217364e-13,1.0,1.3284818e-26,5.9636087e-21,1.4651986e-18,6
6.8125553e-26,0.99999917,8.767755e-11,8.632158e-10,8.3068445e-15,1.9030907e-08,2.1342414e-11,3.2024192e-07,4.3252803e-07,3.7673056e-11,1
0.0,2.0006483e-20,1.0,8.990911e-27,0.0,2.447808e-34,0.0,2.6446715e-20,1.5752891e-27,0.0,2
1.0,3.4544032e-17,3.5864922e-10,1.8248248e-27,2.7211472e-10,5.925506e-23,6.1775993e-09,6.8889695e-20,1.162778e-19,3.6977236e-13,0
1.8944839e-11,3.0280883e-10,1.9658904e-07,3.0072396e-11,2.925368e-17,1.083956e-12,1.2729555e-13,9.717942e-10,0.99999976,1.6034479e-15,8
6.5286593e-15,9.2219014e-21,6.567084e-20,4.3866776e-24,3.9245458e-11,4.847265e-08,1.0,8.0181636e-14,7.565756e-11,4.568008e-15,6
3.6995664e-31,3.2056917e-16,1.2921655e-14,1.0,2.1341406e-23,9.615294e-12,3.7769064e-26,1.7383585e-13,1.9140305e-09,1.9654734e-12,3
1.3099588e-13,9.057194e-16,1.0,3.776911e-16,3.6347857e-15,3.5461e-11,1.9588711e-20,2.7120545e-13,2.3226998e-10,5.5592943e-19,2
1.6153669e-35,4.449729e-16,1.9093688e-18,2.769588e-32,1.0,3.2544e-15,3.8080463e-15,3.2868104e-13,3.139443e-14,1.4663942e-12,4
0.0,4.2179528e-23,6.3892497e-25,1.0,1.8167644e-38,2.030932e-25,0.0,2.221211e-25,7.8550866e-22,1.5612991e-23,3
6.818471e-31,1.3361025e-15,3.035541e-15,1.5026947e-13,2.3461033e-24,4.205175e-18,1.4818686e-28,1.0,2.4703476e-13,3.1334204e-13,7
6.603815e-19,1.2677326e-12,8.63446e-16,1.0172256e-14,6.9453083e-19,5.1368397e-12,2.6486218e-18,1.0,1.2347186e-13,3.9106514e-09,7
7.5104156e-26,1.0,3.228245e-10,1.5725633e-12,2.593095e-19,9.904053e-11,4.420609e-17,7.931434e-10,8.88201e-09,7.1500157e-13,1
1.0569157e-15,4.3426583e-15,3.9122183e-16,1.08207495e-07,2.1965239e-16,0.9999999,3.8671677e-10,8.989676e-12,9.918078e-11,9.998204e-09,5
3.2369364e-11,2.6624623e-16,1.04025864e-10,2.7564307e-12,4.2235076e-23,1.7275527e-14,4.217969e-23,5.3024327e-14,1.0,1.2571008e-10,8
2.6514665e-11,1.176146e-11,3.7273685e-07,1.6055518e-06,3.406565e-18,3.826128e-09,6.6829804e-16,1.3459583e-10,0.999998,7.923098e-11,8
0.0,7.946336e-17,3.1001755e-14,7.373956e-17,2.2053707e-26,3.1597922e-35,4.6156454e-33,1.0,7.435905e-24,2.3610871e-17,7
6.7157796e-24,6.940439e-10,2.0804799e-12,7.524023e-14,8.792735e-10,1.2456114e-16,2.2590921e-17,0.99949634,5.583345e-10,0.0005036584,7
